date_time,response_time,response_time_bucket,date_time_hour_bucket
2020-06-08 20:03:03.274080,556.384,557,20
2020-06-08 20:03:04.837422,121.693,122,20
2020-06-08 20:03:05.962904,133.098,134,20
2020-06-08 20:03:07.099725,163.037,164,20
2020-06-08 20:03:08.265559,120.342,121,20
2020-06-08 20:03:09.388751,177.381,178,20
2020-06-08 20:03:10.569761,115.625,116,20
2020-06-08 20:03:11.689438,159.76,160,20
2020-06-08 20:03:12.853263,138.638,139,20
2020-06-08 20:03:13.995254,170.044,171,20
2020-06-08 20:03:15.169397,173.487,174,20
2020-06-08 20:03:16.346699,124.686,125,20
2020-06-08 20:03:17.474925,137.976,138,20
2020-06-08 20:03:18.618749,149.266,150,20
2020-06-08 20:03:19.771609,296.952,297,20
2020-06-08 20:03:21.072229,146.441,147,20
2020-06-08 20:03:22.222610,109.835,110,20
2020-06-08 20:03:23.336119,155.098,156,20
2020-06-08 20:03:24.494935,108.073,109,20
2020-06-08 20:03:25.606023,104.805,105,20
2020-06-08 20:03:26.718795,105.824,106,20
2020-06-08 20:03:27.828659,118.418,119,20
2020-06-08 20:03:28.953054,116.578,117,20
2020-06-08 20:03:30.073354,315.35,316,20
2020-06-08 20:03:31.394543,227.861,228,20
2020-06-08 20:03:32.626611,131.18,132,20
2020-06-08 20:03:33.763245,113.667,114,20
2020-06-08 20:03:34.881561,182.007,183,20
2020-06-08 20:03:36.067634,169.681,170,20
2020-06-08 20:03:37.241586,223.327,224,20
2020-06-08 20:03:38.471487,151.978,152,20
2020-06-08 20:03:39.628800,128.249,129,20
2020-06-08 20:03:40.761425,136.93,137,20
2020-06-08 20:03:41.902224,140.702,141,20
2020-06-08 20:03:43.048347,118.965,119,20
2020-06-08 20:03:44.171606,125.822,126,20
2020-06-08 20:03:45.304063,187.097,188,20
2020-06-08 20:03:46.496034,144.785,145,20
2020-06-08 20:03:47.645798,128.152,129,20
2020-06-08 20:03:48.778404,112.477,113,20
2020-06-08 20:03:49.894811,156.065,157,20
2020-06-08 20:03:51.055171,119.49,120,20
2020-06-08 20:03:52.190213,125.41,126,20
2020-06-08 20:03:53.320126,157.466,158,20
2020-06-08 20:03:54.481463,131.053,132,20
2020-06-08 20:03:55.616694,139.103,140,20
2020-06-08 20:03:56.759415,109.328,110,20
2020-06-08 20:03:57.872122,112.816,113,20
2020-06-08 20:03:58.988586,114.594,115,20
2020-06-08 20:04:00.107202,154.573,155,20
2020-06-08 20:04:01.265617,185.425,186,20
2020-06-08 20:04:02.459613,136.508,137,20
2020-06-08 20:04:03.600174,118.204,119,20
2020-06-08 20:04:04.722095,111.112,112,20
2020-06-08 20:04:05.836940,118.8,119,20
2020-06-08 20:04:06.959256,113.312,114,20
2020-06-08 20:04:08.077013,115.168,116,20
2020-06-08 20:04:09.196967,178.313,179,20
2020-06-08 20:04:10.378703,107.887,108,20
2020-06-08 20:04:11.489917,126.832,127,20
2020-06-08 20:04:12.620290,117.04,118,20
2020-06-08 20:04:13.741076,309.824,310,20
2020-06-08 20:04:15.054245,121.289,122,20
2020-06-08 20:04:16.179386,128.342,129,20
2020-06-08 20:04:17.311953,135.468,136,20
